time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,17,6,0,0
2026-04-18 00:00:00+00:00,7,7,0,0
2026-04-19 00:00:00+00:00,15,7,0,0
2026-04-20 00:00:00+00:00,51,22,0,0
2026-04-21 00:00:00+00:00,43,17,0,0
2026-04-22 00:00:00+00:00,81,28,0,0
2026-04-23 00:00:00+00:00,70,24,0,0
2026-04-24 00:00:00+00:00,86,29,0,0
2026-04-25 00:00:00+00:00,68,24,1,1
2026-04-26 00:00:00+00:00,26,8,1,1
2026-04-27 00:00:00+00:00,33,9,1,1
2026-04-28 00:00:00+00:00,14,4,5,2
2026-04-29 00:00:00+00:00,48,11,0,0
2026-04-30 00:00:00+00:00,53,14,1,1
