time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-02 00:00:00+00:00,1,1,0,0
2025-06-06 00:00:00+00:00,1,1,0,0
2025-06-14 00:00:00+00:00,8,8,46,1
2025-06-15 00:00:00+00:00,7,7,0,0
2025-06-16 00:00:00+00:00,4,4,0,0
2025-06-17 00:00:00+00:00,2,2,31,2
2025-06-18 00:00:00+00:00,4,4,3,2
2025-06-19 00:00:00+00:00,5,5,22,2
2025-06-20 00:00:00+00:00,1,1,8,1
2025-06-21 00:00:00+00:00,1,1,0,0
2025-06-22 00:00:00+00:00,1,1,0,0
2025-06-23 00:00:00+00:00,1,1,0,0
2025-06-24 00:00:00+00:00,1,1,0,0
2025-06-25 00:00:00+00:00,1,1,1,1
2025-06-26 00:00:00+00:00,4,4,0,0
2025-06-27 00:00:00+00:00,5,5,0,0
2025-06-28 00:00:00+00:00,5,5,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-06-30 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-02 00:00:00+00:00,5,5,3,1
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,1,1,6,2
2025-07-05 00:00:00+00:00,6,6,1,1
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-07 00:00:00+00:00,6,6,76,1
2025-07-08 00:00:00+00:00,5,5,16,2
2025-07-09 00:00:00+00:00,4,4,11,2
2025-07-10 00:00:00+00:00,5,5,0,0
2025-07-11 00:00:00+00:00,5,5,0,0
2025-07-12 00:00:00+00:00,4,4,0,0
2025-07-13 00:00:00+00:00,1,1,0,0
2025-07-14 00:00:00+00:00,4,4,8,1
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-16 00:00:00+00:00,2,2,7,2
2025-07-17 00:00:00+00:00,1,1,7,1
2025-07-18 00:00:00+00:00,2,2,0,0
2025-07-19 00:00:00+00:00,4,4,9,1
2025-07-20 00:00:00+00:00,2,2,1,1
2025-07-21 00:00:00+00:00,1,1,0,0
2025-07-22 00:00:00+00:00,3,3,0,0
2025-07-23 00:00:00+00:00,2,2,0,0
2025-07-24 00:00:00+00:00,1,1,11,11
2025-07-25 00:00:00+00:00,7,5,17,17
2025-07-26 00:00:00+00:00,4,3,0,0
2025-07-27 00:00:00+00:00,1,1,1,1
2025-07-28 00:00:00+00:00,4,4,11,3
2025-07-29 00:00:00+00:00,4,4,4,4
2025-07-30 00:00:00+00:00,1,1,2,2
2025-07-31 00:00:00+00:00,4,4,0,0
2025-08-01 00:00:00+00:00,3,3,0,0
2025-08-02 00:00:00+00:00,1,1,0,0
2025-08-03 00:00:00+00:00,1,1,1,1
2025-08-04 00:00:00+00:00,1,1,0,0
2025-08-05 00:00:00+00:00,1,1,0,0
2025-08-06 00:00:00+00:00,1,1,0,0
2025-08-07 00:00:00+00:00,4,4,3,2
2025-08-08 00:00:00+00:00,3,3,0,0
2025-08-09 00:00:00+00:00,2,2,0,0
2025-08-10 00:00:00+00:00,3,3,0,0
2025-08-11 00:00:00+00:00,1,1,0,0
2025-08-12 00:00:00+00:00,1,1,0,0
2025-08-13 00:00:00+00:00,3,3,1,1
2025-08-14 00:00:00+00:00,5,5,0,0
2025-08-15 00:00:00+00:00,1,1,0,0
2025-08-16 00:00:00+00:00,4,4,0,0
2025-08-17 00:00:00+00:00,1,1,1,1
2025-08-18 00:00:00+00:00,2,2,0,0
2025-08-19 00:00:00+00:00,1,1,1,1
2025-08-20 00:00:00+00:00,3,3,0,0
2025-08-21 00:00:00+00:00,1,1,0,0
2025-08-22 00:00:00+00:00,5,5,0,0
2025-08-23 00:00:00+00:00,1,1,1,1
2025-08-24 00:00:00+00:00,1,1,0,0
2025-08-25 00:00:00+00:00,1,1,0,0
2025-08-26 00:00:00+00:00,4,4,0,0
2025-08-27 00:00:00+00:00,3,3,0,0
2025-08-28 00:00:00+00:00,5,4,0,0
2025-08-29 00:00:00+00:00,3,3,1,1
2025-08-30 00:00:00+00:00,4,4,0,0
2025-08-31 00:00:00+00:00,4,4,8,1
2025-09-01 00:00:00+00:00,6,6,50,3
2025-09-02 00:00:00+00:00,3,2,23,2
2025-09-03 00:00:00+00:00,3,3,47,1
2025-09-04 00:00:00+00:00,3,3,16,2
2025-09-05 00:00:00+00:00,2,2,9,1
2025-09-06 00:00:00+00:00,3,3,0,0
2025-09-07 00:00:00+00:00,5,5,0,0
2025-09-08 00:00:00+00:00,1,1,0,0
2025-09-09 00:00:00+00:00,1,1,0,0
2025-09-10 00:00:00+00:00,2,2,21,1
2025-09-11 00:00:00+00:00,3,3,2,1
2025-09-12 00:00:00+00:00,5,5,16,1
2025-09-13 00:00:00+00:00,3,3,5,1
2025-09-14 00:00:00+00:00,2,2,12,1
2025-09-15 00:00:00+00:00,1,1,0,0
2025-09-16 00:00:00+00:00,1,1,4,1
2025-09-17 00:00:00+00:00,4,2,1,1
2025-09-18 00:00:00+00:00,2,2,1,1
2025-09-19 00:00:00+00:00,4,2,2,1
